"StichtagDatJahr","QuarSort","QuarCd","QuarLang","AlterVSort","AlterVKurz","AlterV05Sort","AlterV05Kurz","AnzBestWir"
2015,72,072,"Hottingen",92,92,19,"90-94",18
2015,74,074,"Witikon",89,89,18,"85-89",53
2015,83,083,"Weinegg",89,89,18,"85-89",18
2015,41,041,"Werd",9,9,2,"5-9",29
2015,21,021,"Wollishofen",85,85,18,"85-89",124
2015,119,119,"Seebach",71,71,15,"70-74",172
2015,24,024,"Enge",97,97,20,"95-99",5
2015,115,115,"Oerlikon",90,90,19,"90-94",57
2015,12,012,"Hochschulen",73,73,15,"70-74",6
2015,42,042,"Langstrasse",86,86,18,"85-89",17
2015,83,083,"Weinegg",94,94,19,"90-94",9
2015,115,115,"Oerlikon",70,70,15,"70-74",105
2015,31,031,"Alt-Wiedikon",90,90,19,"90-94",25
2015,83,083,"Weinegg",92,92,19,"90-94",11
2015,101,101,"Höngg",7,7,2,"5-9",224
2015,102,102,"Wipkingen",87,87,18,"85-89",57
2015,92,092,"Altstetten",90,90,19,"90-94",56
2015,73,073,"Hirslanden",97,97,20,"95-99",4
2015,123,123,"Hirzenbach",96,96,20,"95-99",9
2015,72,072,"Hottingen",86,86,18,"85-89",58
2015,41,041,"Werd",87,87,18,"85-89",8
2015,74,074,"Witikon",86,86,18,"85-89",60
2015,13,013,"Lindenhof",93,93,19,"90-94",2
2015,122,122,"Schwamendingen-Mitte",93,93,19,"90-94",18
2015,63,063,"Oberstrass",74,74,15,"70-74",70
2015,123,123,"Hirzenbach",84,84,17,"80-84",63
2015,111,111,"Affoltern",98,98,20,"95-99",0
2015,81,081,"Seefeld",81,81,17,"80-84",24
2015,115,115,"Oerlikon",85,85,18,"85-89",79
2015,102,102,"Wipkingen",86,86,18,"85-89",47
2015,111,111,"Affoltern",94,94,19,"90-94",25
2015,123,123,"Hirzenbach",83,83,17,"80-84",74
2015,31,031,"Alt-Wiedikon",83,83,17,"80-84",40
2015,31,031,"Alt-Wiedikon",99,99,20,"95-99",1
2015,72,072,"Hottingen",99,99,20,"95-99",1
2015,33,033,"Friesenberg",87,87,18,"85-89",39
2015,102,102,"Wipkingen",70,70,15,"70-74",94
2015,101,101,"Höngg",94,94,19,"90-94",30
2015,63,063,"Oberstrass",90,90,19,"90-94",24
2015,82,082,"Mühlebach",8,8,2,"5-9",34
2015,81,081,"Seefeld",97,97,20,"95-99",1
2015,115,115,"Oerlikon",94,94,19,"90-94",15
2015,81,081,"Seefeld",94,94,19,"90-94",4
2015,122,122,"Schwamendingen-Mitte",90,90,19,"90-94",23
2015,121,121,"Saatlen",89,89,18,"85-89",10
2015,24,024,"Enge",86,86,18,"85-89",32
